,Event,Xintent,Xemotion,Otheremotion
1057,PersonX ставит ___ на пути,"[""трудным""]","[""полномочиями""]","[""раздражение""]"
1058,PersonX ставит ___ на пути,"[""чтобы предотвратить что-то""]","[""полезный""]","[""нет""]"
1059,PersonX определяет персоны по ___ С точки зрения,"[""будут определены персоны""]","[""о""]","[""несчастная""]"
1060,PersonX определяет персоны по ___ С точки зрения,"[""чтобы быть полезным для персоны""]","[""полезная""]","[""осознанное""]"
1061,PersonX боев _ только__,"[""война""]","[""великий""]","[""нет""]"
1062,PersonX боев _ только__,"[""быть героем"", ""чтобы сохранить другие безопасные""]","[""сильный"", ""устал""]","[""нет""]"
1063,PersonX лечит Паркинсона ___,"[""быть хорошим человеком""]","[""теплый""]","[""хорошо""]"
1064,PersonX лечит Паркинсона ___,"[""чтобы помочь своим пациента""]","[""как помощник"", ""полезный член общества""]","[""благодарных""]"
1065,PersonX водит домой PersonX по ___,"[""делать правильные вещи""]","[""рада""]","[""правда""]"
1066,PersonX водит домой PersonX по ___,"[""чтобы оправдать свои сообщения""]","[""оправдано""]","[""уговорили""]"
1067,PersonX срабатывает другой ___,"[""страх""]","[""сад""]","[""нет""]"
1068,PersonX срабатывает другой ___,"[""чтобы убедиться, что они попали свой след""]","[""успешный""]","[""нет""]"
1069,PersonX принимает бог с ___,"[""нет""]","[""безопасный""]","[""нет""]"
1070,PersonX точно измеряет ___,"[""если быть точным""]","[""тщательного""]","[""нет""]"
1071,PersonX точно измеряет ___,"[""испечь пирог""]","[""счастлив, что торт был идеальным""]","[""счастлив, что торт был вкусным""]"
1072,PersonX помогает ___ с дислексией,"[""чтобы помогать другим людям""]","[""хорошим о себе""]","[""лучшее""]"
1073,PersonX помогает ___ с дислексией,"[""чтобы быть хорошим учителем""]","[""полезная""]","[""благодарных""]"
1074,PersonX ставит ___ на практике,"[""порядок на рабочем месте""]","[""находчивый"", ""надежды""]","[""тревожным"", ""уступчивый""]"
1075,PersonX ставит ___ на практике,"[""для реализации новых идей, которые он построил, поэтому он применил новые идеи""]","[""рады, потому что новый опыт, практикуя новые идеи""]","[""нет""]"
1076,PersonX наборы ___ на бумагу,"[""писать на бумаге""]","[""хорошо""]","[""нет""]"
1077,PersonX проводит _ _ _ _ рабочих,"[""чтобы закончить свою работу успешно""]","[""выдохлись и устали""]","[""нет""]"
1078,PersonX проводит _ _ _ _ рабочих,"[""в срок""]","[""гордый"", ""выполнена""]","[""нет""]"
1079,PersonX нравится ___ много,"[""любит детей Муч""]","[""он любит детей""]","[""нет""]"
1080,PersonX листья персоны по ___ За,"[""быть свободным от оружия"", ""не быть обремененными другими""]","[""что он несет меньше нагрузки"", ""без ответственности"", ""немного одиноко""]","[""брошенный personx""]"
1081,PersonX листья персоны по ___ За,"[""никакая часть персоны""]","[""злопамятный""]","[""предал""]"
1082,PersonX толкает ___ в сторону,"[""другой ветки""]","[""довольный""]","[""нет""]"
1083,PersonX толкает ___ в сторону,"[""солнце в комнате""]","[""теплая, светлая""]","[""нет""]"
1084,PersonX толкает ___ в сторону,"[""для получения __ из пути""]","[""хорошо""]","[""нет""]"
1085,PersonX превышает вес___,"[""нет""]","[""стыдно""]","[""нет""]"
1086,PersonX жизни PersonX-это ___ в сторону PersonX по,"[""честный""]","[""честный""]","[""нет""]"
1087,PersonX жизни PersonX-это ___ в сторону PersonX по,"[""быть своим человеком""]","[""подтвержденным""]","[""нет""]"
1088,PersonX жизни PersonX-это ___ в сторону PersonX по,"[""решать свою судьбу"", ""не доверяй другим""]","[""безопасной""]","[""интересно"", ""нейтральный"", ""сомнительно""]"
1089,Отец PersonX мстит персоны-это с ___,"[""чтобы преподать урок""","[""давление""]","[""счастливая""]"
1090,Отец PersonX мстит персоны-это с ___,"[""по справедливости"", ""месть за кого-то""]","[""неумолимый"", ""злопамятный""]","[""спасибо""]"
1091,Отец PersonX мстит персоны-это с ___,"[""поддержка отца""]","[""хорошо""]","[""офигенно""]"
1092,PersonX оценивает детей с ___,"[""чтобы быть полезным""]","[""более знающий""]","[""больше шансов быть помогли""]"
1093,PersonX оценивает детей с ___,"[""чтобы проанализировать и избежать критических ситуациях""]","[""счастлив,обеспеченные чувствовать себя""]","[""нет""]"
1094,PersonX мешает ___ от переезда,"[""в целях предотвращения от перемещения""]","[""счастье""]","[""нет""]"
1095,PersonX мешает ___ от переезда,"[""для контроля __""]","[""хорошо""]","[""нет""]"
1096,PersonX добавляет ___ в пламя,"[""начать спор""]","[""жаль, что ситуация вышла из-под контроля"", ""грустная""]","[""злой""]"
1097,PersonX добавляет ___ в пламя,"[""создать проблемы""]","[""возбуждение""]","[""плохо""]"
1098,PersonX поддерживает один с ___,"[""чтобы убедить других, о своих позиций"", ""выиграть спор""]","[""довольный""]","[""довольный""]"
1099,PersonX поддерживает один с ___,"[""принимать сторону кого-то""]","[""привязка""]","[""счастливая""]"
1100,PersonX поддерживает один с ___,"[""посмотреть что-то интересное""]","[""возбуждение""]","[""нет""]"
1101,PersonX овладевает _ _ силу_,"[""доказать свою силу""]","[""могущественный""]","[""расстроен""]"
1102,PersonX овладевает _ _ силу_,"[""это власть народа""]","[""счастье""]","[""нет""]"
1103,PersonX овладевает _ _ силу_,"[""чтобы сделать это силой""]","[""выполнена""]","[""нет""]"
1104,PersonX удары ___ в сердцах,"[""люди думают, что они страшные""]","[""могущественный""]",[страх]
1105,PersonX мастеров каждый ___,"[""завершить работу""]","[""работа""]","[""нет""]"
1106,PersonX мастеров каждый ___,"[""в Excel по всем предметам в школе""]","[""контент с их отличными оценками""]","[""нет""]"
1107,PersonX отвечает ___ силой,"[""победа""]","[""сильный""]","[""нет""]"
1108,PersonX отвечает ___ силой,"[""будьте уверены, чтобы быть эквивалентно & сбалансирован относительно экологической напряженности""]","[""всегда готовы и готовы убедительно ралли выиграл оборона""]","[""лучше следить за peronx по собственной натуре собственницы""]"
1109,PersonX отвечает ___ силой,"[""действовать на его чувствах""]","[""могущественный""]","[""оппозиции""]"
1110,PersonX определяет ___ путем,"[""быть хорошим""]","[""счастье""]","[""нет""]"
1111,PersonX определяет ___ путем,"[""играть элементов посредством""]","[""весело""]","[""нет""]"
1112,PersonX определяет ___ путем,"[""означает и очень счастливы""]","[""Венто mense""]","[""нет""]"
1113,PersonX ест этот ___ с вами до страдать,"[""следовать традиции""]","[""хорошо""]","[""счастливы""]"
1114,PersonX ест этот ___ с вами до страдать,"[""быть полным до боли""]","[""в боль becauseafter они страдали""]","[""в боль""]"
1115,PersonX делит ___ в регионах,"[""человек как пространство""]","[""очень нравится""]","[""нет""]"
1116,PersonX делит ___ в регионах,"[""чтобы сделать его легко понять""]","[""выполнена""]","[""нет""]"
1117,PersonX внимательно читать___,"[""действие""]","[""хорошо""]","[""нет""]"
1118,PersonX внимательно читать___,"[""чтобы узнать больше""]","[""довольный""]","[""нет""]"
1119,PersonX лежит другой ___,"[""чтобы положить вещи вниз""]","[""хорошо""]","[""хорошие и плохие""]"
1120,PersonX лежит другой ___,"[""подключение кабеля""]","[""счастье""]","[""нет""]"
1121,PersonX лежит другой ___,"[""pesonx лежит другой человек""]","[""счастье""]","[""нет""]"
1122,PersonX отправляет ___ для защиты,"[""чтобы быть безопасным и хорошо""]","[""так хорошо""]","[""нет""]"
1123,PersonX отправляет ___ для защиты,"[""Спасите нашу семью"", ""как наша семья"", ""любовь нашей семьи""]","[""нервной стыдно"", ""аисо рады удовлетворен"", ""беспокойная несчастная нервная""]","[""нет""]"
1124,PersonX отправляет ___ для защиты,"[""для обеспечения безопасности""]","[""безопасный"", ""защищенный""]","[""защищены""]"
1125,PersonX толкает персоны по ___ далеко,"[""сказать мнение""]","[""обрадовал""]","[""unssatisfied""]"
1126,PersonX толкает персоны по ___ далеко,"[""чтобы подтолкнуть их пределы""]","[""смелая""]","[""воспользовался""]"
1127,PersonX ведет ___ к воде,"[""лошадь пить""]","[""хорошо""]","[""нет""]"
1128,PersonX ведет ___ к воде,"[""собака""]","[""счастье""]","[""нет""]"
1129,PersonX ведет ___ к воде,"[""счастливые воды""]","[""счастье""]","[""нет""]"
1130,PersonX спасибо ___ для замечаний персоны по,"[""выразить благодарность"", ""пусть человек y знаю, что замечания были по достоинству оценены""]","[""как он произвел хорошее впечатление"", ""общительный""]","[""оценил"", ""рады, что помогли""]"
1131,PersonX спасибо ___ для замечаний персоны по,"[""быть вежливым""]","[""хорошо""]","[""нет""]"
1132,PersonX спасибо ___ для замечаний персоны по,"[""определенные лица знали, как он ценит обратную связь от кого-то другого"", ""выразить благодарность"", ""персоны, чтобы знать их реакцию приветствовали""]","[""они фактически признали ответ"", ""Рада реакций, которые они получили"", ""надеюсь, подтолкнул на дополнительных реакций в будущем""]","[""вынуждены общаться реакций personx для персоны"", ""с радостью доставил информацию personx""]"
1133,PersonX удаляет ___ от крови,"[""вылечить больного"", ""провести эксперимент""]","[""вдумчивый"", ""задумчивый"", ""интересно""]","[""спасибо"", ""интересно""]"
1134,PersonX удаляет ___ от крови,"[""чтобы быть здоровым и чувствовать себя чистым, они думаете так хорошо""]","[""здорово и хорошо""]","[""нет""]"
1135,PersonX спасает людей 's ___,"[""чтобы помочь людям""]","[""полезный""]","[""заботятся""]"
1136,PersonX-это белый человек с ___,"[""нет""]","[""счастье есть работа""]","[""нет""]"
1137,PersonX добавляет ___ в список,"[""тщательно""]","[""точное""]","[""нет""]"
1138,PersonX добавляет ___ в список,"[""больше""]","[""хорошо""]","[""нет""]"
1139,PersonX добавляет ___ в список,"[""чтобы отслеживать что-то важное"", ""обратить внимание"", ""чтобы что-то выделить""]","[""активный"", ""внимательный"", ""предупреждение""]","[""нет""]"
1140,PersonX быстро___,"[""доходы""]","[""чувствует себя прекрасно""]","[""нет""]"
1141,PersonX быстро___,"[""чтобы выжить и удовлетворить потребности""]","[""положительные"", ""счастье""]","[""нет""]"
1142,PersonX использует ___ для поддержки,"[""верить""]","[""отчаяние""]","[""нет""]"
1143,PersonX использует ___ для поддержки,"[""для полного понимания""]","[""неуверенный"", ""перегружены""]","[""нет""]"
1144,PersonX использует ___ для поддержки,"[""использовать знания"", ""быть полезным"", ""быть продуктивным""]","[""выполнена"", ""внимательный""]","[""нет""]"
1145,PersonX вытирает ___ от лба персоны по,"[""заботиться о другом человеке""]","[""внимательный, заботливый, нужна""]","[""благодарны""]"
1146,PersonX вытирает ___ от лба персоны по,"[""поможет персоны""]","[""любящим по отношению к персоны""]","[""благодарны""]"
1147,PersonX вытирает ___ от лба персоны по,"[""чтобы быть полезным"", ""быть хорошим""]","[""хорошо о себе"", ""счастливый"", ""довольный""]","[""благодарен"", ""спасибо"", ""заботятся""]"
1148,"PersonX поднимает ___, чтобы помочь","[""чтобы помогать другим""]","[""довольны собой""]","[""счастливая""]"
1149,"PersonX поднимает ___, чтобы помочь","[""чтобы обеспечить для других""]","[""как он внес в общество""]","[""благодарных""]"
1150,PersonX показывает тебе ___,"[""тебе слова""]","[""счастье""]","[""нет""]"
1151,PersonX показывает тебе ___,"[""нет""]","[""рад помочь людям""]","[""счастлив следовать за ним""]"
1152,PersonX несет _ только__,"[""нет""]","[""одиноко"", ""грустно"", ""желание""]","[""нет""]"
1153,PersonX несет _ только__,"[""нет""]","[""виновен""]","[""нет""]"
1154,PersonX несет _ только__,"[""нет""]","[""виновен"", ""боль""]","[""нет""]"
1155,"PersonX считает, что на момент ___","[""чтобы быть уверенным""]","[""опасения""]","[""нет""]"
1156,"PersonX считает, что на момент ___","[""понял, глубокую мысль""]","[""сильные, знание""]","[""нет""]"
1157,PersonX предложить другой ___,"[""предложить кто-то другой вариант"", ""хочет продолжать переговоры"", ""хочет быть милосердным""]","[""щедрый"", ""compromsiing""]","[""розыск"", ""баловались""]"
1158,PersonX предложить другой ___,"[""для увеличения работы""","[""строгая""]","[""нет""]"
1159,PersonX строит персоны-это ___ на скале,"[""чтобы быть полезным""]","[""спасибо""]","[""нет""]"
1160,PersonX строит персоны-это ___ на скале,"[""дом""]","[""выполнена""]","[""нет""]"
1161,PersonX строит персоны-это ___ на скале,"[""построить безопасный дом""]","[""заверил""]","[""безопасный""]"
1162,PersonX держит ___ числа,"[""сосчитать""]","[""выполнена""]","[""нет""]"
1163,PersonX держит ___ числа,"[""чтобы иметь иллюзию контроля""]","[""спокойный""]","[""нет""]"
1164,PersonX держит ___ числа,"[""быть под контролем""]","[""могущественный""]","[""нет""]"
1165,PersonX против всех ___,"[""чтобы чувствовать себя непобедимым""]","[""неудержимый"", ""мощный"", ""по-божески""]","[""нет""]"
1166,PersonX против всех ___,"[""нет""]","[""мысли""]","[""нет""]"
1167,PersonX мешает ___ от скольжения,"[""для предотвращения поломки""]","[""полезный""]","[""нет""]"
1168,PersonX мешает ___ от скольжения,"[""что-то остановить от разрушения""]","[""облегчение"", ""рада""]","[""нет""]"
1169,PersonX влияет на детей с ___,"[""мне бы очень довольны""]","[""довольный""]","[""нет""]"
1170,PersonX влияет на детей с ___,"[""задеть""]","[""плохо""]","[""несчастная""]"
1171,PersonX получает другое ___,"[""нет""]","[""благодарен"", ""блаженный"", ""пострадавших""]","[""нет""]"
1172,PersonX получает другое ___,"[""нет""]","[""интересно"", ""будущих""]","[""нет""]"
1173,PersonX живет ___ от,"[""проблема""]","[""очень грустно""]","[""нет""]"
1174,PersonX живет ___ от,"[""трудно сказать на данном этапе""]","[""трудно сказать на данном этапе""]","[""трудно сказать на данном этапе""]"
1175,PersonX местах ___ в состоянии,"[""есть шкала сбалансированный""]","[""нервный он может упасть""]","[""нет""]"
1176,PersonX местах ___ в состоянии,"[""чтобы выиграть игру""]","[""довольный""]","[""низким""]"
1177,PersonX доли мужа PersonX-это с ___,"[""нет""]","[""чутким""]","[""нет""]"
1178,PersonX доли мужа PersonX-это с ___,"[""нет""]","[""менее одиноким в мире""]","[""нет""]"
1179,PersonX доли мужа PersonX-это с ___,"[""нет""]","[""как муж personx это""]","[""нет""]"
1180,PersonX выполняет ___ оной,"[""исполнения жизни""]","[""полнота жизни""]","[""нет""]"
1181,PersonX проводит ___ дома,"[""чтобы быть хорошим, чтобы показать признательность, потому что они, как персоны""]","[""хорошо""]","[""нет""]"
1182,PersonX проводит ___ дома,"[""члены семьи""]","[""очень счастливы""]","[""нет""]"
1183,PersonX приносит ___ ко Христу,"[""быть любимым""]","[""любит""]","[""любит""]"
1184,PersonX приносит ___ ко Христу,"[""чтобы"" сохранить ""как много душ, как только можете"", ""других, чтобы испытать то же чувство удовлетворения и внутреннее спокойствие, что он пользуется своей религии"", ""для чести Бога, распространяя его слово""]","[""благословен способностью служить господу"", ""вынужден обеспечивать перекладку Божье послание к людям"", ""сильное чувство уверенности в том, что он находится на правильном пути""]","[""утешали их взаимодействия с Творцом"", ""любопытно, что религия может предложить им""]"
1185,Отец PersonX оставил PersonX-это с ___,"[""домой""]","[""довольный""]","[""нет""]"
1186,Отец PersonX оставил PersonX-это с ___,"[""отца""]","[""ответственный""]","[""отдыхали""]"
1187,Отец PersonX оставил PersonX-это с ___,"[""расширить кругозор""]","[""чувство приключения"", ""возбуждение""]","[""волнуюсь"", ""надежды на будущее""]"
1188,PersonX избирает каждый ___,"[""лидерство"", ""стабильность""]","[""проверенные""]","[""счастье"", ""победоносный""]"
1189,PersonX избирает каждый ___,"[""каждый день""]","[""спокойный""]","[""нет""]"
1190,PersonX прощает персоны PersonZ ПО ___ и очистит,"[""начать заново"", ""отпускать прошлое""]","[""сердобольный"", ""счастливый"", ""облегчение""]","[""счастье"", ""благодарность""]"
1191,PersonX прощает персоны PersonZ ПО ___ и очистит,"[""прощать других""]","[""расслабленным""]","[""счастливая""]"
1192,PersonX держит это ___ вместе,"[""быть частью чего-то""]","[""единство""]","[""вместе""]"
1193,PersonX держит это ___ вместе,"[""хочет быть надежный"", ""хочет быть находчивой""]","[""хорошо о себе"", ""самоуважение""]","[""уважение personx""]"
1194,PersonX расправляет персоны по ___,"[""дисплей человек y"", ""показать""]","[""полезная"", ""гордый""]","[""гордость"", ""скромная"", ""используется""]"
1195,PersonX изучает ___ подробно,"[""чтобы знать, что они подписавшись на""]","[""уверенный""]","[""нет""]"
1196,PersonX изучает ___ подробно,"[""чтобы понять __""]","[""хорошо""]","[""нет""]"
1197,PersonX изучает ___ подробно,"[""учиться""]","[""квалифицированным""]","[""нет""]"
1198,PersonX готовит ___ для колледжа,"[""он готовили мальчиков для колледжа""]","[""он хорошо учатся""]","[""она очень счастлива""]"
1199,PersonX готовит ___ для колледжа,"[""чувствовать ответственность"", ""выполнить свой долг""]","[""удовлетворен"", ""заверил""]","[""благодарен"", ""спасибо""]"
1200,PersonX готовит ___ для колледжа,"[""обед""]","[""раздражает""]","[""нет""]"
1201,PersonX точно определяет ___,"[""уважение""]","[""осторожный""]","[""нет""]"
1202,PersonX уговаривает ___ чтобы пойти,"[""нет""]","[""злой""]","[""злой""]"
1203,PersonX уговаривает ___ чтобы пойти,"[""оказывать поддержку""]","[""счастье""]","[""мотивированных""]"
1204,PersonX сохраняет ___ в Гарварде,"[""сохранение вещей""]","[""выполнена""]","[""нет""]"
1205,PersonX входит в ___ в цифрах,"[""считать деньги""]","[""внести деньги в банк""]","[""нет""]"
1206,PersonX входит в ___ в цифрах,"[""ясно""]","[""счастлив быть сделано""]","[""нет""]"
1207,PersonX сохраняет один с ___,"[""сохранение вещей""]","[""счастье""]","[""нет""]"
1208,PersonX сохраняет один с ___,"[""быть сильным"", ""сохранить""]","[""сильная"", ""независимая""]","[""нет""]"
1209,PersonX читает ___ в оригинале,"[""чтобы обогатить свои знания""]","[""счастье""]","[""нет""]"
1210,"PersonX знает, персоны-это ___ лучше","[""нет""]","[""квалифицированным""]","[""нет""]"
1211,"PersonX знает, персоны-это ___ лучше","[""найти персоны символов""]","[""с удовлетворением и радостью""]","[""несчастных и проблемных""]"
1212,PersonX школы каждые ___,"[""быть пунктуальным, чтобы узнать""]","[""восторженных и заинтересованных""]","[""нет""]"
1213,PersonX получает PersonX-это ___ в дверь,"[""чтобы иметь возможность на работу"", ""быть замеченным""]","[""удовлетворен"", ""уверенный""]","[""нет""]"
1214,PersonX получает PersonX-это ___ в дверь,"[""нет""]","[""боль и может получить травму""]","[""нет""]"
1215,PersonX распространяется за рубежом ___,"[""распространяется за рубежом бизнес""]","[""есть цель""]","[""нет""]"
1216,PersonX распространяется за рубежом ___,"[""очень интересная""]","[""счастье""]","[""нет""]"
1217,PersonX акций PersonX ПО ___ с классом,"[""язык""]","[""великий""]","[""подключен""]"
1218,PersonX акций PersonX ПО ___ с классом,"[""чтобы рассказать людям о себе""]","[""возбуждение""]","[""нет""]"
1219,PersonX акций PersonX ПО ___ с классом,"[""фотографии""]","[""обрадовал""]","[""включен"", ""вдохновение""]"
1220,PersonX учит детей ___,"[""дети воспитаны правильно""]","[""горжусь своими учениками""]","[""умнее после его классе""]"
1221,PersonX учит детей ___,"[""чувствовать себя хорошо""]","[""полезный""]","[""вместе""]"
1222,PersonX избегает каждые ___,"[""оставаться нейтральным""]","[""облегчение""]","[""игнорировать"", ""раздражение""]"
1223,PersonX избегает каждые ___,"[""в бой""]","[""дружинник""]","[""боевой""]"
1224,PersonX избегает каждые ___,"[""быть в мире""]","[""безопасный""]","[""нет""]"
1225,PersonX наливает другой ___,"[""нет""]","[""хорошо""]","[""нет""]"
1226,PersonX наливает другой ___,"[""на""]","[""на""]","[""нет""]"
1227,PersonX причины _ _ _ _ _ _ к другим,"[""других, чтобы чувствовать себя за то, что они сделали""]","[""раздражение""]","[""сад"", ""расстроен""]"
1228,PersonX причины _ _ _ _ _ _ к другим,"[""причинять боль врагам""]","[""мстительный"", ""злостный""]","[""поражение"", ""постылый""]"
1229,PersonX кто-то с ___,"[""чтобы избежать ошибок лучше""]","[""несчастная,stranging""]","[""несчастных,обидели,мешали""]"
1230,PersonX отправляет ___ бороться,"[""в""]","[""нервничает по поводу их победы""","[""счастлив, что есть кого спасать""]"
1231,PersonX отправляет ___ бороться,"[""выиграть войну""]","[""разгромил""]","[""разгромил""]"
1232,PersonX отправляет ___ бороться,"[""в бой""]","[""нейтральный""]","[""не люблю драться""]"
1233,PersonX обсуждается ___ подробно,"[""быть понятым""]","[""понял""]","[""просветленный""]"
1234,PersonX обсуждается ___ подробно,"[""факты должны быть известны всем""]","[""квалифицированным""]","[""просветленный""]"
1235,PersonX использует ___ чтобы избежать,"[""на опережение""]","[""эффективные""]","[""нет""]"
1236,PersonX использует ___ чтобы избежать,"[""быть ответственным"", ""следуй инструкции""]","[""счастье""]","[""нет""]"
1237,PersonX использует ___ купить,"[""экономия денег""]","[""выглядит отлично""]","[""нет""]"
1238,PersonX использует ___ купить,"[""купить подарок на день рождения""]","[""рады, что нашли идеальный подарок""]","[""рад, что получил столь желанный подарок""]"
1239,PersonX использует ___ для получения,"[""сила""]","[""положительные чувства""]","[""нет""]"
1240,PersonX использует ___ для получения,"[""чтобы показать власть""]","[""могущественный""]","[""нет""]"
1241,PersonX содержит в себе ___,"[""в""]","[""с гордостью о его мастерстве""]","[""нет""]"
1242,PersonX мнения ___ с точки зрения,"[""чтобы понять смысл""]","[""известно""]","[""нет""]"
1243,PersonX приносит в контакт___,"[""друзей""]","[""гордый"", ""надежды"", ""возбуждение""]","[""возбуждение"", ""неловко""]"
1244,PersonX приносит в контакт___,"[""чтобы сделать связь сильнее с учащимися""]","[""счастливый,довольный""]","[""нет""]"
1245,PersonX удаляет ___ как можно,"[""что-то исправить"", ""пробовать""]","[""надежный"", ""отрицательные для делать плохо""]","[""нет""]"
1246,PersonX тратит ___ пытаюсь,"[""чтобы оказаться хорошим человеком""]","[""счастье""]","[""нет""]"
1247,PersonX тратит ___ пытаюсь,"[""не сдаваться""]","[""установлено""]","[""нет""]"
1248,PersonX пользуется ___ много,"[""быть счастливым""]","[""исполнено""]","[""нет""]"
1249,PersonX пользуется ___ много,"[""для счастья""]","[""счастье""]","[""нет""]"
1250,PersonX слышит мать персоны-это с ___,"[""быть хорошим""]","[""что они сделали доброе дело""]","[""рада""]"
1251,PersonX слышит мать персоны-это с ___,"[""нет""]","[""убаюканный пением матери персоны х""]","[""приятно"", ""оценил""]"
1252,PersonX слышит мать персоны-это с ___,"[""нет""]","[""интересно"", ""страшно"", ""удивленный""]","[""нет""]"
1253,PersonX платит ___ для поддержки,"[""содействие""]","[""добрые, отзывчивые""]","[""хорошо""]"
1254,PersonX платит ___ для поддержки,"[""горжусь хорошим собственным сообщества""]","[""rsponsible, заботливые и сердобольные""]","[""признать & признают ответственного поведения человека х""]"
1255,PersonX платит ___ для поддержки,"[""быть частью общества"", ""быть частью группы""]","[""включено""]","[""что personx является частью группы""]"
1256,PersonX спасибо ___ для получения разрешения,"[""выразить благодарность"", ""проявить уважение""]","[""блаженный"", ""правильное""]","[""уважаемых""]"
1257,PersonX использует ___ для связи,"[""ясно""]","[""тщательного""]","[""нет""]"
1258,PersonX использует ___ для связи,"[""быть понятым""]","[""понял""]","[""спасибо""]"
1259,PersonX использует ___ для связи,"[""быть понятым""]","[""понял""]","[""нет""]"
1260,PersonX заполняет все ___,"[""чтобы заполнить вещи""]","[""завершения""]","[""нет""]"
1261,PersonX использует в сторону___,"[""для хорошей жизни""]","[""счастья и приятных""]","[""нет""]"
1262,PersonX мешает ___ от получения,"[""феас проблемы""]","[""довольный""]","[""нет""]"
1263,PersonX мешает ___ от получения,"[""царь едет в Лондон""]","[""король как Квина""]","[""нет""]"
1264,PersonX изменения с ___,"[""адаптироваться""]","[""разумная""]","[""нет""]"
1265,PersonX изменения с ___,"[""нет""]","[""уверенный""]","[""квалифицированным""]"
1266,PersonX изменения с ___,"[""реформировать его манеры""]","[""рада""]","[""раздражена""]"
1267,Сосед PersonX зарится персоны-это с ___,"[""жадничать""]","[""стыдно""]","[""нет""]"
1268,Сосед PersonX зарится персоны-это с ___,"[""одержать верх""]","[""вина""]","[""обманули""]"
1269,Сосед PersonX зарится персоны-это с ___,"[""чтобы получить зарится personx это""]","[""счастливый и довольный""]","[""злой""]"
1270,PersonX защищает ___ от вреда,"[""чтобы чувствовать себя полезным __""]","[""хорошо""]","[""заботятся""]"
1271,PersonX посещает в течение года____,"[""встреча""]","[""спокойный""]","[""нет""]"
1272,PersonX посещает в течение года____,"[""исследование""]","[""счастье""]","[""нет""]"
1273,PersonX доли ___ в равной степени,"[""работа""]","[""счастье""]","[""нет""]"
1274,PersonX доли ___ в равной степени,"[""чтобы увидеть семью""]","[""экстазе""]","[""любит""]"
1275,PersonX доли ___ в равной степени,"[""Счастливый дом""]","[""выполнена""]","[""уважаемых""]"
1276,PersonX платит ___ в полном объеме,"[""проплаченный""]","[""облегчение""]","[""нет""]"
1277,PersonX платит ___ в полном объеме,"[""иметь меньше проблем""]","[""облегчение""]","[""хорошо""]"
1278,PersonX знает ___ хорошо,"[""знание""]","[""как эксперт""]","[""они могут положиться на знания personx это""]"
1279,PersonX знает ___ хорошо,"[""нет""]","[""поселился"", ""обеспечить""]","[""нет""]"
1280,PersonX держит PersonX ПО ___ в проверить,"[""быть вежливым""]","[""сдержанный""]","[""уважаемых""]"
1281,PersonX посвящает PersonX ПО _ _ _ _ _ _ к службе,"[""быть в обществе""]","[""хорошо""]","[""нет""]"
1282,PersonX посвящает PersonX ПО _ _ _ _ _ _ к службе,"[""счастье""]","[""наслаждаться""]","[""правда""]"
1283,PersonX тянет ___ открыть,"[""чтобы попасть в конференц-зал"", ""пригласить посетителей"", ""для того, чтобы его клиенты в""]","[""счастливой и послушной""]","[""радостью и энтузиазмом""]"
1284,PersonX тянет ___ открыть,"[""чтобы войти через дверь""]","[""безопасный""]","[""нет""]"
1285,PersonX приносит ___ глаза у персоны,"[""нет""]","[""сад""]","[""хуже""]"
1286,PersonX приносит ___ глаза у персоны,"[""чтобы сделать своего друга очень счастливыми""]","[""счастливой и восхитительной""]","[""восхитительный""]"
1287,PersonX приносит ___ глаза у персоны,"[""выразить свои чувства""]","[""расслабленным""]","[""хороший""]"
1288,"PersonX доказывает, что Бог с ___","[""создать""]","[""очень хорошо""]","[""нет""]"
1289,"PersonX доказывает, что Бог с ___","[""всем верить""]","[""выполнена"", ""всемогущий""]","[""в трепет"", ""верный""]"
1290,PersonX благодаря персоны по ___ Для поддержки Пэрсоны по,"[""в знак признательности"", ""других, чтобы чувствовать себя оценил""]","[""благодарность""]","[""оценили""]"
1291,PersonX благодаря персоны по ___ Для поддержки Пэрсоны по,"[""чтобы показать признательность""]","[""благодарны""]","[""уважаемых""]"
1292,PersonX благодаря персоны по ___ Для поддержки Пэрсоны по,"[""передать своего счастья""]","[""очень счастлива""]","[""хорошо о Человек Х""]"
1293,PersonX приносит PersonX по ___ обратно,"[""быть честным"", ""на помощь""]","[""полезный"", ""честный"", ""мораль""]","[""спасибо""]"
1294,PersonX производящий все ___ после адвоката,"[""быть свободным""]","[""довольный""]","[""нет""]"
1295,PersonX строит ___ на сайте,"[""мне нравится этот рынок""]","[""счастье""]","[""нет""]"
1296,PersonX идет ___ как это,"[""чтобы выйти куда-то""]","[""возбуждение""]","[""нет""]"
1297,PersonX мест ___ на пути,"[""вмешиваться""]",[порочных],"[""бессильные""]"
1298,PersonX мест ___ на пути,"[""для блокирования автомобиля""]","[""безопасный""]","[""нет""]"
1299,PersonX мест ___ на пути,"[""трудно"", ""препятствовать""]","[""выполнена"", ""злой, как собака"", ""хитрый""]","[""раздражен"", ""разочарование""]"
1300,PersonX бросает ___ на эту тему,"[""дружба""]","[""здоровые отношения""]","[""нет""]"
1301,PersonX помогает ___ вместе,"[""помогать"", ""быть добрым""]","[""полезно"", ""выполнена""]","[""благодарные"", ""поддержал""]"
1302,PersonX помогает ___ вместе,"[""быть добрым""]","[""рад помочь""]","[""спасибо""]"
